BP-NN
Epoch,Run 2,Run 4,Run 8,Run 18,Run 21,Run 22,Run 39,Run 43,Run 44,Run 50,Mean
1,0.2754,0.2643,0.2556,0.2503,0.3132,0.2639,0.2932,0.2434,0.2851,0.2344,0.26788
2,0.0984,0.0987,0.1005,0.0993,0.1115,0.0911,0.1136,0.1014,0.0949,0.0813,0.09907
3,0.0681,0.0674,0.0672,0.0684,0.0719,0.0519,0.071,0.0682,0.0639,0.0539,0.06519
4,0.0555,0.0538,0.0529,0.0558,0.0562,0.0372,0.0523,0.0546,0.0527,0.0428,0.051379999999999995
5,0.0485,0.0459,0.0452,0.0487,0.0478,0.0302,0.0435,0.0473,0.0465,0.0366,0.044020000000000004
6,0.0438,0.0408,0.0403,0.0438,0.0425,0.0261,0.0383,0.0425,0.0424,0.0326,0.039310000000000005
7,0.0404,0.0372,0.0369,0.0401,0.0387,0.0234,0.0347,0.0391,0.0393,0.0297,0.03595
8,0.0376,0.0345,0.0343,0.0371,0.0358,0.0215,0.032,0.0365,0.0368,0.0275,0.03336
9,0.0353,0.0325,0.0322,0.0346,0.0335,0.02,0.0298,0.0343,0.0347,0.0257,0.031259999999999996
10,0.0334,0.0309,0.0305,0.0325,0.0317,0.0188,0.0281,0.0325,0.0328,0.0243,0.02955
11,0.0317,0.0296,0.029,0.0308,0.0302,0.0178,0.0266,0.0311,0.0313,0.0231,0.02812
12,0.0303,0.0285,0.0276,0.0292,0.0289,0.0169,0.0254,0.0298,0.0298,0.0221,0.026850000000000002
13,0.029,0.0276,0.0264,0.0279,0.0279,0.0162,0.0244,0.0287,0.0286,0.0212,0.02579
14,0.0279,0.0268,0.0253,0.0268,0.027,0.0156,0.0235,0.0278,0.0275,0.0205,0.024869999999999996
15,0.027,0.0261,0.0244,0.0258,0.0262,0.0151,0.0227,0.027,0.0265,0.0198,0.02406
16,0.0261,0.0255,0.0236,0.0249,0.0255,0.0146,0.022,0.0263,0.0256,0.0191,0.02332
17,0.0254,0.025,0.0229,0.0241,0.0249,0.0142,0.0214,0.0257,0.0248,0.0186,0.022699999999999998
18,0.0247,0.0245,0.0222,0.0233,0.0243,0.0138,0.0209,0.0251,0.0241,0.018,0.022090000000000002
