BP-NN
Epoch,Run 2,Run 3,Run 4,Run 5,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 27,Run 29,Run 30,Run 31,Run 33,Run 34,Run 35,Run 36,Run 39,Run 40,Run 41,Run 42,Run 43,Run 45,Run 46,Run 47,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 62,Run 63,Run 65,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 76,Run 77,Run 78,Run 80,Run 81,Run 83,Run 84,Run 85,Run 86,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Mean
1,0.4484,0.4707,0.4038,0.4712,0.3538,0.5277,0.5052,0.4945,0.5326,0.5184,0.4695,0.484,0.4854,0.4171,0.4838,0.4422,0.5285,0.4648,0.4751,0.4988,0.4324,0.4587,0.4715,0.4713,0.4318,0.468,0.4743,0.4897,0.4975,0.409,0.4543,0.4729,0.5243,0.4498,0.5013,0.5147,0.4827,0.4673,0.4423,0.4594,0.4637,0.5158,0.447,0.4651,0.318,0.4665,0.3619,0.5114,0.4592,0.4876,0.5463,0.4382,0.4466,0.4754,0.4478,0.4957,0.4106,0.4917,0.4752,0.5027,0.4833,0.4464,0.5074,0.4965,0.4692,0.511,0.5831,0.4545,0.4599,0.5082,0.5135,0.4613,0.4801,0.4947,0.516,0.4654,0.4764,0.5255,0.4905,0.4427,0.473259
2,0.4374,0.4456,0.3762,0.4359,0.2934,0.4609,0.4663,0.442,0.5042,0.5011,0.3825,0.4354,0.4426,0.3955,0.4255,0.3944,0.4684,0.4297,0.4524,0.4244,0.386,0.4057,0.4101,0.452,0.4017,0.4286,0.4343,0.4565,0.4628,0.3576,0.414,0.4294,0.4594,0.405,0.4689,0.4635,0.4515,0.4344,0.4086,0.4316,0.4374,0.4346,0.4022,0.4322,0.2796,0.4075,0.3018,0.4689,0.3579,0.4511,0.5049,0.3851,0.4122,0.432,0.4127,0.4688,0.3782,0.454,0.4371,0.4872,0.4532,0.4257,0.4701,0.46,0.3735,0.4702,0.5012,0.4178,0.4204,0.4762,0.4507,0.4122,0.4416,0.4477,0.4865,0.4247,0.4558,0.4917,0.4349,0.3863,0.430265
3,0.4158,0.4183,0.35,0.3963,0.2468,0.4118,0.4259,0.4027,0.4898,0.4737,0.3293,0.3972,0.3928,0.3804,0.3724,0.3769,0.4325,0.3928,0.4288,0.3704,0.3484,0.3837,0.3785,0.4255,0.3626,0.3967,0.4064,0.426,0.4486,0.3166,0.3826,0.3956,0.4332,0.3697,0.4372,0.4283,0.419,0.4179,0.376,0.4023,0.4117,0.3811,0.3728,0.4034,0.2751,0.3472,0.2627,0.4281,0.2962,0.4151,0.475,0.3332,0.3914,0.3993,0.3819,0.4402,0.3422,0.4251,0.3946,0.4684,0.4263,0.3928,0.4323,0.4315,0.3123,0.4324,0.4514,0.3866,0.3899,0.4462,0.3959,0.3838,0.4118,0.4039,0.4625,0.3878,0.4344,0.4676,0.3908,0.3443,0.396108
4,0.3923,0.3858,0.3217,0.3539,0.2074,0.3631,0.3836,0.3667,0.4729,0.4401,0.2851,0.3589,0.3421,0.3636,0.3226,0.3543,0.3973,0.3525,0.4025,0.3184,0.3121,0.3586,0.3474,0.3967,0.3212,0.3632,0.379,0.3967,0.4327,0.2696,0.3458,0.3595,0.404,0.3343,0.4065,0.3904,0.3813,0.3994,0.3411,0.367,0.3803,0.3326,0.3409,0.3689,0.2703,0.2861,0.2223,0.3838,0.2451,0.3763,0.4435,0.2861,0.3677,0.3636,0.3487,0.4107,0.3004,0.3959,0.3522,0.4497,0.3947,0.3582,0.392,0.4011,0.2654,0.3927,0.3996,0.3499,0.3623,0.4101,0.3474,0.3524,0.3784,0.358,0.4366,0.3518,0.4092,0.4415,0.352,0.3028,0.360906
5,0.3673,0.3479,0.2931,0.31,0.1765,0.3155,0.3413,0.3321,0.4515,0.4029,0.2505,0.3196,0.2955,0.3452,0.2781,0.3265,0.3622,0.3123,0.3739,0.2713,0.2804,0.3302,0.3158,0.3669,0.279,0.3279,0.3511,0.3686,0.4133,0.2225,0.3076,0.3234,0.3708,0.3007,0.3768,0.3502,0.3413,0.3771,0.3051,0.3267,0.3434,0.2901,0.3075,0.3286,0.2648,0.2344,0.1851,0.3403,0.2039,0.3359,0.4081,0.2478,0.3417,0.3276,0.3133,0.3801,0.2567,0.3658,0.3125,0.4285,0.3584,0.3239,0.3508,0.3699,0.2301,0.351,0.3471,0.309,0.3364,0.3669,0.3054,0.319,0.3434,0.3129,0.4072,0.3189,0.3818,0.4128,0.3178,0.2651,0.325656
6,0.3421,0.3082,0.2662,0.2667,0.153,0.273,0.3017,0.2989,0.4247,0.3657,0.2241,0.281,0.2562,0.326,0.2409,0.2952,0.3284,0.276,0.3446,0.2323,0.2537,0.2994,0.285,0.3377,0.238,0.2927,0.3235,0.3425,0.3892,0.1827,0.2727,0.2902,0.3356,0.2704,0.3489,0.3107,0.3035,0.3504,0.27,0.2858,0.3047,0.2534,0.2742,0.286,0.2584,0.1959,0.1538,0.3011,0.1718,0.2972,0.3701,0.2179,0.3149,0.2946,0.2776,0.3497,0.2171,0.3358,0.2778,0.403,0.3197,0.2921,0.3124,0.34,0.2023,0.311,0.2983,0.2687,0.3137,0.3225,0.2694,0.2864,0.3094,0.2719,0.3742,0.2903,0.3546,0.3821,0.2879,0.2331,0.292281
7,0.3178,0.2721,0.2425,0.2273,0.1351,0.2378,0.2664,0.2668,0.3932,0.3311,0.2036,0.2456,0.2244,0.3067,0.211,0.2638,0.2971,0.2454,0.3164,0.2019,0.2314,0.2683,0.2564,0.3103,0.2001,0.2593,0.2974,0.3185,0.3602,0.1532,0.2431,0.2617,0.3015,0.2442,0.3231,0.2747,0.271,0.3198,0.2383,0.2483,0.2685,0.2224,0.2439,0.2462,0.2507,0.1679,0.1289,0.2673,0.1474,0.2633,0.3332,0.1945,0.2898,0.2665,0.2438,0.3211,0.185,0.3077,0.2493,0.3722,0.282,0.2642,0.2793,0.3129,0.1792,0.2762,0.2558,0.2332,0.2944,0.284,0.238,0.2566,0.2786,0.2368,0.34,0.2661,0.3294,0.3507,0.2619,0.2064,0.262276
8,0.2954,0.2425,0.2221,0.1941,0.1211,0.21,0.2358,0.2365,0.3595,0.3002,0.1869,0.2154,0.1987,0.2884,0.1874,0.235,0.269,0.2206,0.2901,0.1789,0.2126,0.2388,0.2315,0.2854,0.1677,0.229,0.2738,0.2965,0.3272,0.1316,0.2188,0.2388,0.2708,0.222,0.2995,0.2441,0.2447,0.2872,0.2114,0.2168,0.2379,0.197,0.2183,0.2121,0.2414,0.1473,0.1097,0.2387,0.1294,0.2356,0.2995,0.1763,0.2676,0.2432,0.2138,0.2955,0.1605,0.2825,0.2264,0.3371,0.2477,0.2409,0.2517,0.2895,0.1593,0.2477,0.2201,0.2042,0.2776,0.2539,0.2103,0.2309,0.2519,0.2081,0.3075,0.2457,0.3072,0.3202,0.2394,0.1839,0.236291
9,0.2757,0.2193,0.2047,0.1674,0.1098,0.1885,0.2097,0.2105,0.3264,0.2733,0.1733,0.1905,0.1777,0.2718,0.1686,0.2102,0.2438,0.2008,0.2657,0.1616,0.1967,0.2127,0.2107,0.2636,0.1413,0.2024,0.2529,0.2763,0.2928,0.1155,0.1989,0.221,0.2444,0.2031,0.2781,0.2193,0.2242,0.2561,0.1894,0.1915,0.2135,0.1763,0.197,0.1839,0.2301,0.1318,0.0951,0.2146,0.1161,0.2132,0.27,0.1616,0.2483,0.2241,0.1884,0.2728,0.1419,0.2604,0.2081,0.3009,0.2184,0.2219,0.2283,0.2697,0.142,0.225,0.1911,0.1811,0.2631,0.2308,0.1861,0.2091,0.2289,0.1849,0.279,0.2285,0.2878,0.2917,0.2204,0.1648,0.214261
10,0.2586,0.2014,0.1897,0.1465,0.1004,0.1717,0.1876,0.189,0.2963,0.2503,0.1624,0.1701,0.1599,0.2568,0.1532,0.1894,0.2215,0.185,0.2428,0.1484,0.1833,0.1906,0.1932,0.245,0.1202,0.1797,0.2349,0.2577,0.26,0.103,0.1826,0.2067,0.2223,0.187,0.2592,0.1989,0.2085,0.2293,0.1718,0.1715,0.1945,0.1593,0.1792,0.1608,0.2168,0.1198,0.0839,0.1942,0.1063,0.1951,0.2446,0.1497,0.2316,0.2084,0.1673,0.2527,0.1278,0.2412,0.1932,0.2667,0.1948,0.2064,0.2085,0.2528,0.1272,0.2071,0.1684,0.1626,0.2502,0.2128,0.166,0.1908,0.209,0.1662,0.2554,0.2138,0.271,0.2661,0.2046,0.1488,0.195775
