BP-NN
Epoch,Run 7,Run 11,Run 15,Run 16,Run 17,Run 24,Run 26,Run 28,Run 29,Run 32,Run 34,Run 38,Run 39,Mean
1,0.687,0.6785,0.6833,0.6668,0.7193,0.6679,0.6881,0.6819,0.6734,0.6949,0.678,0.6721,0.7079,0.6845461538461538
2,0.6333,0.653,0.6137,0.6048,0.6608,0.6161,0.6714,0.6618,0.6,0.6369,0.5987,0.643,0.6329,0.6328
3,0.5901,0.6267,0.5629,0.5582,0.6466,0.5579,0.6579,0.6461,0.5466,0.5993,0.5445,0.615,0.5861,0.595223076923077
4,0.5398,0.5846,0.512,0.5079,0.6229,0.4939,0.6315,0.6199,0.4923,0.5521,0.4919,0.5761,0.5301,0.5503846153846155
5,0.4903,0.5334,0.4696,0.4638,0.5855,0.4421,0.5843,0.5799,0.4453,0.5017,0.45,0.5325,0.4744,0.5040615384615384
6,0.448,0.4845,0.4374,0.4293,0.5364,0.406,0.5236,0.5307,0.4091,0.4568,0.4197,0.4921,0.429,0.46173846153846154
7,0.4144,0.4444,0.4135,0.4028,0.4854,0.3809,0.468,0.4834,0.3824,0.4214,0.3978,0.4588,0.3963,0.4268846153846154
8,0.3879,0.4136,0.3954,0.3814,0.4421,0.3624,0.4257,0.4451,0.3624,0.3947,0.3814,0.4326,0.3733,0.39984615384615385
9,0.3663,0.3901,0.3809,0.3632,0.4091,0.3473,0.3947,0.4165,0.3469,0.3743,0.3683,0.4118,0.3563,0.3789
10,0.3479,0.3717,0.3687,0.347,0.3843,0.3342,0.371,0.3953,0.3343,0.3579,0.357,0.3948,0.343,0.36208461538461534
11,0.3317,0.3568,0.3577,0.3319,0.3651,0.3219,0.3518,0.3793,0.3236,0.3437,0.3467,0.3799,0.3319,0.34784615384615386
12,0.3169,0.3441,0.3469,0.3178,0.3494,0.3101,0.3352,0.3666,0.3141,0.3308,0.3369,0.3664,0.3219,0.33516153846153846
13,0.3031,0.3329,0.336,0.3043,0.3357,0.2985,0.3204,0.3559,0.3053,0.3185,0.327,0.3536,0.3126,0.3233692307692308
14,0.2901,0.3225,0.3247,0.2915,0.3233,0.2869,0.3067,0.3463,0.2971,0.3066,0.3172,0.3412,0.3036,0.31213076923076927
15,0.2777,0.3125,0.3129,0.2791,0.3115,0.2754,0.2937,0.337,0.289,0.295,0.3072,0.329,0.2946,0.30112307692307694
16,0.2657,0.3026,0.3007,0.2673,0.3002,0.264,0.2813,0.3276,0.2812,0.2837,0.2972,0.317,0.2856,0.29031538461538464
17,0.2542,0.2928,0.2883,0.256,0.289,0.2528,0.2694,0.3176,0.2733,0.2726,0.2871,0.305,0.2765,0.27958461538461543
18,0.2431,0.2828,0.276,0.2451,0.278,0.2417,0.2578,0.3068,0.2655,0.2619,0.277,0.2931,0.2672,0.26892307692307693
19,0.2324,0.2728,0.2638,0.2347,0.2671,0.2308,0.2467,0.2952,0.2577,0.2515,0.2669,0.2814,0.2579,0.2583769230769231
20,0.2221,0.2628,0.2518,0.2247,0.2563,0.2202,0.2359,0.2832,0.2498,0.2414,0.2568,0.2698,0.2486,0.24795384615384616
21,0.2122,0.2528,0.2403,0.2152,0.2456,0.2099,0.2256,0.2709,0.2419,0.2316,0.2469,0.2584,0.2393,0.2377384615384615
22,0.2027,0.2429,0.2291,0.206,0.2351,0.2001,0.2155,0.2587,0.2341,0.222,0.2371,0.2472,0.23,0.2277307692307692
23,0.1936,0.233,0.2183,0.1973,0.2247,0.1906,0.2059,0.2467,0.2262,0.2128,0.2274,0.2364,0.2208,0.21797692307692307
24,0.185,0.2233,0.2081,0.1889,0.2146,0.1815,0.1967,0.2351,0.2183,0.2039,0.218,0.2258,0.2118,0.20853846153846156
