BP-NN
Epoch,Run 8,Run 16,Run 22,Run 36,Run 39,Run 40,Run 41,Run 44,Run 45,Run 46,Run 48,Run 49,Run 50,Mean
1,0.6594,0.66,0.6638,0.6752,0.6549,0.6327,0.5955,0.6346,0.6353,0.6232,0.6499,0.634,0.6567,0.6442461538461538
2,0.561,0.521,0.5728,0.6021,0.5386,0.5395,0.4677,0.5285,0.5228,0.5284,0.522,0.5214,0.5732,0.5383846153846155
3,0.4745,0.4283,0.4879,0.5138,0.4473,0.4567,0.385,0.4376,0.4335,0.4453,0.4498,0.4374,0.4924,0.45303846153846156
4,0.3992,0.3691,0.4223,0.4276,0.3867,0.3873,0.3318,0.3749,0.3709,0.3846,0.4047,0.3862,0.4331,0.3906461538461538
5,0.3347,0.3262,0.3717,0.3576,0.3422,0.3335,0.2924,0.3275,0.3256,0.34,0.3704,0.3514,0.3907,0.3433769230769231
6,0.2826,0.2905,0.3296,0.3039,0.3053,0.2919,0.2608,0.2878,0.2893,0.3051,0.3383,0.3218,0.3534,0.3046384615384615
7,0.2426,0.2595,0.2938,0.263,0.274,0.2596,0.2348,0.254,0.2589,0.2764,0.3065,0.2929,0.3168,0.2717538461538461
8,0.2126,0.233,0.2635,0.2316,0.2474,0.2343,0.2134,0.2256,0.2335,0.2522,0.2761,0.264,0.2824,0.2438153846153846
9,0.19,0.2107,0.2379,0.2074,0.2249,0.2142,0.1959,0.2023,0.2124,0.2316,0.2489,0.2361,0.2525,0.22036923076923076
10,0.1729,0.1923,0.2165,0.1883,0.2059,0.198,0.1816,0.1835,0.1949,0.2139,0.2256,0.2106,0.2278,0.2009076923076923
11,0.1595,0.1773,0.1985,0.173,0.1898,0.1848,0.1698,0.1683,0.1804,0.1986,0.2061,0.1888,0.2078,0.18482307692307695
12,0.1489,0.1651,0.1834,0.1604,0.1761,0.1738,0.16,0.156,0.1683,0.1854,0.1899,0.1708,0.1915,0.1715076923076923
