BP-NN
Epoch,Run 2,Run 3,Run 4,Run 5,Run 12,Run 14,Run 24,Run 26,Run 28,Run 32,Run 33,Run 35,Run 48,Mean
1,0.6472,0.6579,0.584,0.6498,0.626,0.6261,0.649,0.6264,0.6636,0.6426,0.6486,0.5915,0.659,0.6362846153846153
2,0.535,0.5591,0.4681,0.526,0.5181,0.556,0.5576,0.5089,0.5555,0.5137,0.5732,0.4801,0.5697,0.5323846153846155
3,0.4201,0.4534,0.3577,0.4184,0.4052,0.4771,0.4548,0.4058,0.4457,0.3907,0.4947,0.3764,0.4566,0.4274307692307693
4,0.3165,0.3436,0.2671,0.3308,0.304,0.3936,0.3535,0.3167,0.3367,0.2907,0.4284,0.2904,0.3423,0.3318692307692308
5,0.2354,0.257,0.202,0.2624,0.2266,0.3123,0.2683,0.2462,0.2531,0.2209,0.369,0.2251,0.2569,0.25655384615384613
6,0.1772,0.1965,0.1577,0.2106,0.1738,0.2441,0.2047,0.1932,0.1955,0.1735,0.3089,0.1779,0.1989,0.20096153846153847
7,0.1369,0.1546,0.1272,0.1723,0.1386,0.1929,0.1602,0.1545,0.1564,0.1405,0.252,0.1439,0.1591,0.1607
8,0.1089,0.1249,0.1055,0.144,0.1144,0.1559,0.1294,0.1264,0.1289,0.1168,0.2043,0.1191,0.1306,0.13146923076923078
9,0.0891,0.1032,0.0895,0.1226,0.0969,0.129,0.1074,0.1057,0.1088,0.099,0.167,0.1004,0.1096,0.10986153846153845
10,0.0748,0.0869,0.0774,0.1059,0.0838,0.1089,0.0912,0.0901,0.0937,0.0852,0.1385,0.0861,0.0936,0.09354615384615385
11,0.064,0.0744,0.0678,0.0926,0.0737,0.0934,0.079,0.0781,0.082,0.0742,0.1167,0.0749,0.0812,0.08092307692307693
12,0.0557,0.0646,0.0602,0.0818,0.0656,0.0812,0.0694,0.0686,0.0726,0.0654,0.0999,0.0661,0.0713,0.07095384615384616
13,0.0492,0.0568,0.0539,0.0729,0.0589,0.0714,0.0618,0.061,0.065,0.0581,0.0867,0.0589,0.0633,0.06291538461538461
14,0.0439,0.0505,0.0487,0.0654,0.0534,0.0634,0.0555,0.0548,0.0587,0.0521,0.0761,0.0531,0.0568,0.056338461538461546
15,0.0396,0.0452,0.0443,0.0591,0.0488,0.0567,0.0503,0.0497,0.0534,0.0472,0.0676,0.0482,0.0514,0.05088461538461539
16,0.036,0.0409,0.0406,0.0537,0.0448,0.0511,0.0459,0.0453,0.0488,0.043,0.0605,0.0441,0.0468,0.046269230769230764
17,0.0329,0.0372,0.0373,0.049,0.0413,0.0464,0.0421,0.0416,0.0449,0.0394,0.0546,0.0406,0.043,0.042330769230769234
18,0.0303,0.034,0.0345,0.0449,0.0383,0.0423,0.0389,0.0385,0.0415,0.0363,0.0496,0.0376,0.0396,0.038946153846153846
19,0.028,0.0313,0.0321,0.0414,0.0356,0.0387,0.036,0.0357,0.0385,0.0336,0.0454,0.0349,0.0368,0.036000000000000004
20,0.026,0.029,0.0299,0.0382,0.0333,0.0357,0.0335,0.0333,0.0358,0.0313,0.0417,0.0326,0.0342,0.03342307692307693
21,0.0242,0.0269,0.028,0.0355,0.0312,0.033,0.0312,0.0312,0.0335,0.0292,0.0385,0.0306,0.032,0.031153846153846157
22,0.0227,0.0251,0.0263,0.033,0.0293,0.0307,0.0292,0.0293,0.0313,0.0273,0.0357,0.0288,0.03,0.029130769230769234
23,0.0213,0.0235,0.0248,0.0309,0.0276,0.0286,0.0274,0.0276,0.0294,0.0257,0.0332,0.0271,0.0282,0.027330769230769235
24,0.0201,0.0221,0.0234,0.0289,0.026,0.0267,0.0258,0.0261,0.0277,0.0242,0.031,0.0257,0.0266,0.02571538461538462
25,0.019,0.0208,0.0221,0.0271,0.0246,0.0251,0.0243,0.0247,0.0261,0.0229,0.029,0.0244,0.0251,0.024246153846153848
26,0.0179,0.0197,0.021,0.0255,0.0234,0.0236,0.0229,0.0235,0.0247,0.0217,0.0272,0.0231,0.0238,0.02292307692307692
27,0.017,0.0186,0.0199,0.0241,0.0222,0.0223,0.0217,0.0223,0.0234,0.0206,0.0256,0.022,0.0226,0.02171538461538462
28,0.0162,0.0177,0.019,0.0228,0.0211,0.0211,0.0206,0.0213,0.0222,0.0196,0.0242,0.021,0.0215,0.020638461538461536
29,0.0154,0.0168,0.0181,0.0216,0.0201,0.02,0.0196,0.0203,0.0211,0.0187,0.0228,0.0201,0.0205,0.019623076923076924
30,0.0147,0.016,0.0173,0.0205,0.0192,0.019,0.0186,0.0194,0.0201,0.0178,0.0216,0.0192,0.0196,0.018692307692307696
